City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,clyde river,70.4692,-68.5914,-31.87,68,20,2.57,CA,1675702550
164,pingliang,35.5392,106.6861,2.66,33,96,0.95,CN,1675702550
165,saint-philippe,-21.3585,55.7679,26.77,84,78,5.12,RE,1675702551
166,talnakh,69.4865,88.3972,-19.92,99,100,2.3,RU,1675702551
167,padang,-0.9492,100.3543,25.03,74,99,1.73,ID,1675702552
168,tanout,14.9709,8.8879,27.26,10,100,6.03,NE,1675702552
169,shakawe,-18.3667,21.85,24.1,71,100,1.62,BW,1675702553
170,darnah,32.767,22.6367,10.05,78,98,10.6,LY,1675702553
171,mizan teferi,6.9833,35.5833,20.39,47,72,0.94,ET,1675702553
172,coari,-4.085,-63.1414,26.64,89,94,0.79,BR,1675702554
173,namibe,-15.1961,12.1522,22.62,77,74,5.31,AO,1675702475
174,dingle,10.9995,122.6711,23.86,92,56,3.35,PH,1675702554
175,mutare,-18.9707,32.6709,20.74,72,51,2.01,ZW,1675702555
176,orlik,52.5178,99.825,-26.59,97,32,1.13,RU,1675702555
177,iqaluit,63.7506,-68.5145,-30.73,61,40,6.17,CA,1675702555
178,kodiak,57.79,-152.4072,1.73,60,0,5.14,US,1675702556
179,georgetown,5.4112,100.3354,24.96,94,20,1.03,MY,1675702433
180,mogadishu,2.0371,45.3438,25.23,85,12,8.26,SO,1675702556
181,san cristobal,7.7669,-72.225,26.1,54,82,3.42,VE,1675702557
182,barra,-11.0894,-43.1417,32.89,35,78,2.51,BR,1675702557
183,tuy hoa,13.0833,109.3,21.42,93,46,0.6,VN,1675702558
184,puro,12.4841,123.3827,25.08,90,43,3.82,PH,1675702558
185,baglung,28.2719,83.5898,11.3,76,88,1.47,NP,1675702559
186,sao felix do xingu,-6.6447,-51.995,31.72,54,87,1.06,BR,1675702559
187,yaan,7.3833,8.5667,36.56,10,56,1.1,NG,1675702559
188,tabory,58.5198,64.5495,-10.4,97,99,1.64,RU,1675702560
189,gouyave,12.1646,-61.7296,23.43,88,75,5.14,GD,1675702560
190,east london,-33.0153,27.9116,27.52,65,0,6.69,ZA,1675702301
191,klaksvik,62.2266,-6.589,8.51,93,100,12.55,FO,1675702561
192,krasnyy oktyabr,56.1167,38.8833,-16.68,100,89,0.88,RU,1675702561
193,camacha,33.0833,-16.3333,14.68,55,75,9.26,PT,1675702461
194,zapolyarnyy,69.4154,30.8136,-3.4,77,100,8.09,RU,1675702562
195,ixtapa,20.7,-105.2,30.53,20,0,1.66,MX,1675702563
196,saldanha,-33.0117,17.9442,24.03,94,48,7.0,ZA,1675702564
197,chokurdakh,70.6333,147.9167,-31.96,98,100,2.32,RU,1675702564
198,severo-kurilsk,50.6789,156.125,-3.48,74,93,5.0,RU,1675702566
199,barra patuca,15.8,-84.2833,27.04,65,18,4.14,HN,1675702566
200,yumen,40.2833,97.2,-2.82,43,54,2.8,CN,1675702567
201,sabya,17.1495,42.6254,27.79,66,37,1.83,SA,1675702568
202,djambala,-2.5447,14.7533,23.46,69,91,2.04,CG,1675702570
203,salalah,17.0151,54.0924,25.05,65,0,2.06,OM,1675702301
204,haines junction,60.7522,-137.5108,-3.03,74,61,2.57,CA,1675702571
205,itajai,-26.9078,-48.6619,33.7,70,20,4.12,BR,1675702571
206,kikwit,-5.041,18.8162,26.03,69,67,0.89,CD,1675702572
207,sarangani,5.4033,125.4636,27.52,75,100,6.26,PH,1675702573
208,aldan,58.6031,125.3894,-41.45,97,70,2.21,RU,1675702574
209,presidencia roque saenz pena,-26.7852,-60.4388,39.4,17,6,2.3,AR,1675702575
210,biak,-0.9131,122.8766,24.61,80,99,1.61,ID,1675702575
211,paamiut,61.994,-49.6678,-10.7,70,100,4.86,GL,1675702576
212,limni,38.7667,23.3167,4.9,75,89,6.0,GR,1675702577
213,ozernovskiy,51.5,156.5167,-6.34,88,100,1.87,RU,1675702579
214,upernavik,72.7868,-56.1549,-23.58,93,100,4.38,GL,1675702312
215,siocon,7.7061,122.1353,24.88,86,72,0.85,PH,1675702580
216,altayskoye,51.9533,85.3325,-3.76,97,100,0.68,RU,1675702581
217,baykit,61.67,96.37,-24.97,100,90,1.35,RU,1675702582
218,lima,-12.0432,-77.0282,26.14,65,0,6.17,PE,1675702646
219,kruisfontein,-34.0033,24.7314,21.99,88,57,2.32,ZA,1675702583
